variable,model,exo_vars,best_order(ARIMA),sigma_source,IS_R2,IS_MSE,OOS_R2,OOS_MSE,IS_STD,OOS_STD,OOS_RMSE,STD / RMSE,ABS_STD_ERR,QLIKE,CORR_SIGMA_ABSERR,CORR_VAR_SQERR,IS_GARCH_STD,OOS_GARCH_STD,_status
gpce,arimax,ogap,"(0, 0, 0)",garch,0.027640810655316428,2.5219809481126952e-05,-0.024072315800823807,1.9123706903183162e-05,0.004789600109077741,0.004933479899352106,0.004373066075785176,1.1281512361933175,0.12815123619331747,-9.796894088558343,-0.11694550501889078,-0.15391308195401682,0.004789600109077741,0.004933479899352106,ok
eqis,arimax,ogap,"(1, 0, 0)",garch,0.18532127909734974,0.003574350181108841,0.03335217311355643,0.0033865857420730333,0.05829900497790492,0.05851435665787312,0.05903970699426638,0.9911017455346741,0.008898254465325883,-4.596207894653673,0.06830628417023826,-0.0047903338986537425,0.05829900497790492,0.05851435665787312,ok
ik,arimax,ogap,"(1, 0, 0)",garch,0.3737972539721415,4.48508295071241e-07,0.31249021502446306,3.891422585459004e-07,0.0006435394504931132,0.000664185410830298,0.0006229090601778403,1.0662638469902386,0.06626384699023857,-13.748452506593697,0.08062199465842855,0.01468637061922711,0.0006435394504931132,0.000664185410830298,ok
cay,arimax,gpce,"(1, 0, 0)",garch,0.08661916167818717,6.369270545392738e-05,0.034326221462333106,0.00046778071291874064,0.019170788933955834,0.0181054944596776,0.02157632423584499,0.8391371144487503,0.16086288555124972,-6.581948678824103,0.5614490786364833,0.3813426090526619,0.019170788933955834,0.0181054944596776,ok
dp,arimax,eqis,"(0, 1, 0)",garch,0.02964934318592294,7.671012027933078e-06,0.024753345122094483,2.003154251270632e-06,0.001471191153318169,0.0015442424594860912,0.0014142221306930923,1.0919376991571172,0.09193769915711725,-12.49640271063532,0.44277014153186867,0.37706297279244755,0.001471191153318169,0.0015442424594860912,ok
ep,arimax,tbl,"(0, 1, 0)",garch,0.04875356612265058,3.295508450523043e-05,0.0361268993926801,1.1947916715762607e-05,0.003220718083469257,0.003532319232249615,0.0034538734110617485,1.0227124193193147,0.02271241931931467,-10.754002838330356,0.4358519128235495,0.3664807371308431,0.003220718083469257,0.003532319232249615,ok
dy,arimax,tchi,"(1, 1, 0)",garch,0.22356607331605938,8.906575419891237e-06,0.1906256940174722,1.6379807615615843e-06,0.0012750294907114994,0.0014010003305226055,0.0012808988484497008,1.093763439804998,0.09376343980499802,-12.655541753176346,0.4325156786096158,0.3699076766634484,0.0012750294907114994,0.0014010003305226055,ok
tms,arimax,dfy,"(2, 0, 0)",garch,0.05593629015241819,1.6176972037741394e-05,0.025713384739101453,1.9029633239758116e-05,0.0038447125342265264,0.004382301096139654,0.0043682204014017945,1.0032234396262014,0.0032234396262014187,-10.251298009999722,0.38035924139165905,0.24150644736218552,0.0038447125342265264,0.004382301096139654,ok
ntis,arimax,bm,"(1, 0, 0)",garch,0.021992554647321638,1.2538810305558296e-05,-0.0010048317901347747,1.5201614965585334e-05,0.0037294161660193026,0.0036055878734276084,0.0038958680310326745,0.9254902488244393,0.07450975117556069,-10.042808716005666,0.07938465146874939,0.01535546076336318,0.0037294161660193026,0.0036055878734276084,ok
dfr,arimax,ep,"(1, 0, 1)",garch,0.013910586117433232,0.00015046257036889426,-0.004844799578686221,0.00022921703515335238,0.014288042094702212,0.015066642993681068,0.015139915295448399,0.9951603228725223,0.004839677127477682,-7.71015772144468,0.4054494693692206,0.27123421123565045,0.014288042094702212,0.015066642993681068,ok
tbl,arimax,tchi,"(2, 0, 0)",garch,0.127148850479886,1.9461066006843958e-05,0.11427612774395313,1.714963668595545e-05,0.0038349973875430347,0.004174000974031648,0.004142990680951365,1.0074850018907506,0.007485001890750631,-11.138347978166031,0.6048891385578455,0.38081026445511656,0.0038349973875430347,0.004174000974031648,ok
