strategy,side,q,threshold,n,R2_cond,RRMSE_cond,MASE_cond,RMSE_pred,RMSE_bench,MAE_pred,MAE_bench,hit_rate_cond
CAPM,down,0.05,-0.0803146,15,0.00944665615267315,0.9952654640081342,0.9962899950201997,0.10416567968927984,0.10466120191670641,0.10198441053341609,0.10236418215897909,0.06666666666666667
CAPM,down,0.1,-0.057458199999999994,30,0.007819004374959526,0.9960828256852141,0.9970358760286439,0.0896763123678537,0.09002897154276762,0.08705435597052859,0.08731316301002152,0.03333333333333333
CAPM,down,0.15,-0.035815799999999995,45,0.0043159261894164525,0.9978397034647317,0.9999096909654,0.07948239404697088,0.07965447132539376,0.07579260334290265,0.07579944871793957,0.044444444444444446
CAPM,down,0.2,-0.026538999999999997,60,0.003851112540868118,0.9980725862677183,0.9999622805538664,0.07112474104433333,0.07126209258016347,0.06575751246345518,0.06575999289396489,0.03333333333333333
CAPM,up,0.05,0.07451725000000003,15,-0.039813588265474875,1.0197125027503955,1.0187953171948678,0.08991837835071467,0.08818012734784016,0.08875765483176708,0.08712020298262732,0.8666666666666667
CAPM,up,0.1,0.0569616,30,-0.033727898970836945,1.0167241016966388,1.0151046828397106,0.07694722336510366,0.0756815179621487,0.07485319242105543,0.07373938243655513,0.9333333333333333
CAPM,up,0.15,0.045833650000000004,45,-0.02176354872720543,1.0108232034966378,1.006301660385733,0.06824563997541301,0.06751491234009846,0.06523003069115854,0.06482154731430606,0.9555555555555556
CAPM,up,0.2,0.03796580000000001,60,-0.018301857365359275,1.0091094377545773,1.0034457807952224,0.06182292292430082,0.061264834725821476,0.057942176278825926,0.05774320584905667,0.9666666666666667
FF3,down,0.05,-0.0803146,15,-0.024086474834777105,1.0119715780765668,1.0130996698311512,0.1059141616670396,0.10466120191670641,0.10370511914779754,0.10236418215897909,0.13333333333333333
FF3,down,0.1,-0.057458199999999994,30,-0.02043959758318148,1.0101681036259171,1.0094398441176144,0.09094439545474922,0.09002897154276762,0.088137385658252,0.08731316301002152,0.1
FF3,down,0.15,-0.035815799999999995,45,-0.015341004745767384,1.0076413075821016,1.0006717961636096,0.08026313564108079,0.07965447132539376,0.07585037049679201,0.07579944871793957,0.08888888888888889
FF3,down,0.2,-0.026538999999999997,60,-0.01600836388537208,1.0079724023431258,1.0008684150932392,0.07183022265402561,0.07126209258016347,0.06581709986432531,0.06575999289396489,0.1
FF3,up,0.05,0.07451725000000003,15,0.061890827093840306,0.9685603610029474,0.9602648362585993,0.08540777597730993,0.08818012734784016,0.08365846745192855,0.08712020298262732,0.9333333333333333
FF3,up,0.1,0.0569616,30,0.04023949672878424,0.9796736718271118,0.977819884201528,0.07414319059142774,0.0756815179621487,0.07210383439520453,0.07373938243655513,0.9333333333333333
FF3,up,0.15,0.045833650000000004,45,0.03432075305294002,0.9826898019960622,0.98217093723795,0.06634621583927285,0.06751491234009846,0.0636658398789061,0.06482154731430606,0.9333333333333333
FF3,up,0.2,0.03796580000000001,60,0.031939298727795995,0.9839007578369904,0.9837375744376604,0.06027851731549372,0.061264834725821476,0.056804161262205534,0.05774320584905667,0.95
dual_0,down,0.05,-0.0803146,15,-0.005456697410115785,1.0027246368819887,1.0002198313571193,0.10494636568756192,0.10466120191670641,0.10238668501606352,0.10236418215897909,0.13333333333333333
dual_0,down,0.1,-0.057458199999999994,30,-0.014914251632380138,1.0074295268813496,1.0070643379814024,0.09069784420694488,0.09002897154276762,0.0879299727037496,0.08731316301002152,0.06666666666666667
dual_0,down,0.15,-0.035815799999999995,45,-0.01218537065407621,1.0060742371485696,1.0045105933537817,0.08013831147416814,0.07965447132539376,0.07614134920754703,0.07579944871793957,0.06666666666666667
dual_0,down,0.2,-0.026538999999999997,60,-0.01281109984620632,1.0063851647586057,1.0053052564000824,0.07171711278233084,0.07126209258016347,0.06610886651713498,0.06575999289396489,0.05
dual_0,up,0.05,0.07451725000000003,15,-0.028286724541892516,1.0140447349806085,1.010501168063494,0.08941859386699688,0.08818012734784016,0.0880350668758736,0.08712020298262732,0.7333333333333333
dual_0,up,0.1,0.0569616,30,-0.02266102865284214,1.0112670412175224,1.0076263541943007,0.07653422474443289,0.0756815179621487,0.07430174508508529,0.07373938243655513,0.8333333333333334
dual_0,up,0.15,0.045833650000000004,45,-0.02575282452338823,1.012794561855161,1.0104249846098936,0.06837873606217963,0.06751491234009846,0.0654973109474472,0.06482154731430606,0.8666666666666667
dual_0,up,0.2,0.03796580000000001,60,-0.024178310945415893,1.0120169519061506,1.0092207630403252,0.06200105129825993,0.061264834725821476,0.058275642267379545,0.05774320584905667,0.8833333333333333
dual_0.05,down,0.05,-0.0803146,15,-0.013303052303800689,1.0066295506807859,1.0049007960151255,0.10535505865912517,0.10466120191670641,0.10286584813499539,0.10236418215897909,0.13333333333333333
dual_0.05,down,0.1,-0.057458199999999994,30,-0.019221855573642754,1.0095651814388424,1.009387409094032,0.09089011499032658,0.09002897154276762,0.0881328073904905,0.08731316301002152,0.06666666666666667
dual_0.05,down,0.15,-0.035815799999999995,45,-0.01918399954500183,1.0095464325849515,1.0093389114064044,0.08041488736599157,0.07965447132539376,0.0765073330541707,0.07579944871793957,0.044444444444444446
dual_0.05,down,0.2,-0.026538999999999997,60,-0.019806035773628494,1.0098544626695614,1.0099663995570856,0.07196434221124952,0.07126209258016347,0.06641538325801725,0.06575999289396489,0.03333333333333333
dual_0.05,up,0.05,0.07451725000000003,15,-0.012804316652694547,1.0063817946747122,1.0033172044961725,0.08874287481496405,0.08818012734784016,0.08740919851166874,0.08712020298262732,0.8
dual_0.05,up,0.1,0.0569616,30,-0.000808424676878472,1.000404130677637,0.9967200807401474,0.07571210318528733,0.0756815179621487,0.07349752321589184,0.07373938243655513,0.9
dual_0.05,up,0.15,0.045833650000000004,45,-0.0009506370159768629,1.0004752055978083,0.9976040651997625,0.06754699580437801,0.06751491234009846,0.06466623911329047,0.06482154731430606,0.9333333333333333
dual_0.05,up,0.2,0.03796580000000001,60,0.00296732578159864,0.9985152348454186,0.9945161376944915,0.061173870834019387,0.061264834725821476,0.057426550059101814,0.05774320584905667,0.95
dual_0.1,down,0.05,-0.0803146,15,-0.008914982476618594,1.004447600662483,1.003360265133449,0.10512669314768741,0.10466120191670641,0.10270815295120193,0.10236418215897909,0.13333333333333333
dual_0.1,down,0.1,-0.057458199999999994,30,-0.018352331245888864,1.0091344465659118,1.0097615365073824,0.09085133637270902,0.09002897154276762,0.08816547363831889,0.08731316301002152,0.06666666666666667
dual_0.1,down,0.15,-0.035815799999999995,45,-0.018401905885140346,1.0091590092176457,1.0096626026430116,0.08038402736248973,0.07965447132539376,0.07653186867146036,0.07579944871793957,0.044444444444444446
dual_0.1,down,0.2,-0.026538999999999997,60,-0.01966599785181522,1.009785124594245,1.0109018934547698,0.071959401034907,0.07126209258016347,0.06647690133008131,0.06575999289396489,0.03333333333333333
dual_0.1,up,0.05,0.07451725000000003,15,0.011429685959193137,0.9942687333114759,0.99341032975083,0.08767474352138167,0.08818012734784016,0.08654610957293105,0.08712020298262732,1.0
dual_0.1,up,0.1,0.0569616,30,0.017302783660421595,0.9913108575717199,0.9899214996404065,0.07502391047338715,0.0756815179621487,0.07299620004415211,0.07373938243655513,1.0
dual_0.1,up,0.15,0.045833650000000004,45,0.01709994039003626,0.9914131629194579,0.9902354713619633,0.06693517278732695,0.06751491234009846,0.06418859545919367,0.06482154731430606,1.0
dual_0.1,up,0.2,0.03796580000000001,60,0.019679036036486686,0.9901115916721274,0.9881051224182654,0.06065902302391292,0.061264834725821476,0.057056357484305244,0.05774320584905667,1.0
dual_0.15,down,0.05,-0.0803146,15,-0.02219599811470152,1.0110370903753738,1.0101510340637159,0.10581635706105634,0.10466120191670641,0.1034032844589793,0.10236418215897909,0.0
dual_0.15,down,0.1,-0.057458199999999994,30,-0.032283214103565605,1.0160133926792332,1.01674430543612,0.09147064081658947,0.09002897154276762,0.08877516128005505,0.08731316301002152,0.0
dual_0.15,down,0.15,-0.035815799999999995,45,-0.02922689296810388,1.014508202513959,1.0142268574638464,0.08081011452652491,0.07965447132539376,0.07687783667068784,0.07579944871793957,0.0
dual_0.15,down,0.2,-0.026538999999999997,60,-0.029928858165293226,1.014854106837674,1.015007563699038,0.07232062731682544,0.07126209258016347,0.06674689017616936,0.06575999289396489,0.0
dual_0.15,up,0.05,0.07451725000000003,15,0.012621848682602965,0.9936690351004187,0.9907614764882908,0.08762186205676037,0.08818012734784016,0.08631534093902744,0.08712020298262732,0.9333333333333333
dual_0.15,up,0.1,0.0569616,30,0.018956432740306894,0.9904764344797373,0.9875391428207355,0.07496076006716323,0.0756815179621487,0.07282052652352605,0.07373938243655513,0.9666666666666667
dual_0.15,up,0.15,0.045833650000000004,45,0.018883947790580002,0.9905130247550608,0.9882476056475575,0.0668744000380637,0.06751491234009846,0.06405973892773283,0.06482154731430606,0.9777777777777777
dual_0.15,up,0.2,0.03796580000000001,60,0.020277294348082564,0.9898094289568662,0.9873312927323951,0.06064051107510214,0.061264834725821476,0.05701167407746192,0.05774320584905667,0.9833333333333333
dual_0.2,down,0.05,-0.0803146,15,-0.00940555566016954,1.0046917714703198,1.0032557194170062,0.10515224835790861,0.10466120191670641,0.10269745121444003,0.10236418215897909,0.06666666666666667
dual_0.2,down,0.1,-0.057458199999999994,30,-0.01989709983560939,1.0098995493788525,1.0103988678333522,0.09092021779208256,0.09002897154276762,0.08822112105227467,0.08731316301002152,0.03333333333333333
dual_0.2,down,0.15,-0.035815799999999995,45,-0.018346858793538035,1.0091317351037663,1.0090526413282896,0.0803818548573678,0.07965447132539376,0.07648563394006516,0.07579944871793957,0.022222222222222223
dual_0.2,down,0.2,-0.026538999999999997,60,-0.019247814186863277,1.009578037690432,1.0099553839737583,0.07194464358879533,0.07126209258016347,0.06641465887333593,0.06575999289396489,0.016666666666666666
dual_0.2,up,0.05,0.07451725000000003,15,-0.010750999380059634,1.0053611288388167,1.0027820786585282,0.0886528723715752,0.08818012734784016,0.08736257824007193,0.08712020298262732,0.9333333333333333
dual_0.2,up,0.1,0.0569616,30,0.001541272645379066,0.9992290665080861,0.9957082344569708,0.07562317254523279,0.0756815179621487,0.07342291029584967,0.07373938243655513,0.9666666666666667
dual_0.2,up,0.15,0.045833650000000004,45,0.0011253100330866905,0.9994371866039973,0.9967952798097239,0.0674769140430035,0.06751491234009846,0.06461381239286297,0.06482154731430606,0.9777777777777777
dual_0.2,up,0.2,0.03796580000000001,60,0.0033600658731152144,0.9983185534321622,0.9952106834794734,0.061161821179742594,0.061264834725821476,0.057466655359335615,0.05774320584905667,0.9833333333333333
past,down,0.05,-0.0803146,15,-0.015217633025465638,1.0075800876483545,1.0067329509640393,0.10545454300061717,0.10466120191670641,0.10305339517792947,0.10236418215897909,0.0
past,down,0.1,-0.057458199999999994,30,-0.02182716820389885,1.0108546721482268,1.0112596872328434,0.0910062065127064,0.09002897154276762,0.08829628191682465,0.08731316301002152,0.0
past,down,0.15,-0.035815799999999995,45,-0.021989772243746764,1.010935097938412,1.0111924881841652,0.08052550077056937,0.07965447132539376,0.07664783315208135,0.07579944871793957,0.0
past,down,0.2,-0.026538999999999997,60,-0.023300033652989827,1.0115829346390683,1.0124516812400413,0.07208751674076275,0.07126209258016347,0.06657881536382793,0.06575999289396489,0.0
past,up,0.05,0.07451725000000003,15,-0.014045511164560986,1.0069982677068323,1.0041376484627744,0.08879723548544291,0.08818012734784016,0.08748067575657499,0.08712020298262732,0.9333333333333333
past,up,0.1,0.0569616,30,-0.0017487405008467238,1.0008739883226294,0.9972235763140992,0.07574766272508648,0.0756815179621487,0.07353465066857458,0.07373938243655513,0.9666666666666667
past,up,0.15,0.045833650000000004,45,0.0010011049826925689,0.9994993221695085,0.9959362694128461,0.0674811091202622,0.06751491234009846,0.06455813000977827,0.06482154731430606,0.9777777777777777
past,up,0.2,0.03796580000000001,60,0.004972762830393829,0.9975105198290423,0.9928741338334572,0.06111231713459454,0.061264834725821476,0.05733173549214916,0.05774320584905667,0.9833333333333333
dual_pca_0,down,0.05,-0.0803146,15,-0.016164227232787765,1.0080497146633134,1.0069564036272718,0.10550369472845533,0.10466120191670641,0.10307626872705253,0.10236418215897909,0.0
dual_pca_0,down,0.1,-0.057458199999999994,30,-0.01858070556156144,1.009247593785371,1.0088910039117855,0.09086152290050988,0.09002897154276762,0.08808946468389399,0.08731316301002152,0.0
dual_pca_0,down,0.15,-0.035815799999999995,45,-0.017188884329913723,1.0085578239892414,1.007873002433033,0.08033614027095255,0.07965447132539376,0.07639621796211847,0.07579944871793957,0.0
dual_pca_0,down,0.2,-0.026538999999999997,60,-0.018974924992481768,1.0094428785188796,1.009756849048624,0.07193501186339911,0.07126209258016347,0.06640160321806989,0.06575999289396489,0.0
dual_pca_0,up,0.05,0.07451725000000003,15,0.024537460333940442,0.9876550711994848,0.9865754915412437,0.08709154995411071,0.08818012734784016,0.08595065708075847,0.08712020298262732,1.0
dual_pca_0,up,0.1,0.0569616,30,0.02128648298798641,0.9892995082440978,0.9888321629331148,0.07487168850312056,0.0756815179621487,0.07291587302809095,0.07373938243655513,1.0
dual_pca_0,up,0.15,0.045833650000000004,45,0.02339018014519656,0.9882357106757493,0.9866877167917185,0.06672064737762812,0.06751491234009846,0.063958624518459,0.06482154731430606,1.0
dual_pca_0,up,0.2,0.03796580000000001,60,0.024616977413041696,0.9876148148883543,0.9858194782255232,0.0605060584069078,0.061264834725821476,0.05692437706118603,0.05774320584905667,1.0
dual_pca_0.05,down,0.05,-0.0803146,15,-0.024892315554553957,1.012369653612036,1.011767270870858,0.10595582473103543,0.10466120191670641,0.10356872921791765,0.10236418215897909,0.0
dual_pca_0.05,down,0.1,-0.057458199999999994,30,-0.0263033595003892,1.013066315450469,1.0125059037542052,0.09120531848462672,0.09002897154276762,0.0884050930231001,0.08731316301002152,0.0
dual_pca_0.05,down,0.15,-0.035815799999999995,45,-0.022389851383211257,1.0111329543552674,1.0097885849543435,0.08054126091885233,0.07965447132539376,0.07654141806120753,0.07579944871793957,0.0
dual_pca_0.05,down,0.2,-0.026538999999999997,60,-0.02025745585269112,1.0100779454342577,1.0074571112545934,0.07198026806071738,0.07126209258016347,0.06625037247707645,0.06575999289396489,0.0
dual_pca_0.05,up,0.05,0.07451725000000003,15,0.03175107611557271,0.9839964044062496,0.9843904965989623,0.08676892825035991,0.08818012734784016,0.0857602998778709,0.08712020298262732,1.0
dual_pca_0.05,up,0.1,0.0569616,30,0.037392368503762596,0.9811256960737689,0.9802900155949155,0.07425308199053259,0.0756815179621487,0.07228598035869006,0.07373938243655513,1.0
dual_pca_0.05,up,0.15,0.045833650000000004,45,0.03291607246853179,0.983404254379382,0.9834731979638135,0.06639445202930386,0.06751491234009846,0.06375025443416323,0.06482154731430606,1.0
dual_pca_0.05,up,0.2,0.03796580000000001,60,0.030794678554029398,0.98448226060502,0.985325316270682,0.06031414298646966,0.061264834725821476,0.05689584256570486,0.05774320584905667,1.0
dual_pca_0.1,down,0.05,-0.0803146,15,-0.020183715247424683,1.0100414423415627,1.0098145148571087,0.10571215134115168,0.10466120191670641,0.10336883694561418,0.10236418215897909,0.0
dual_pca_0.1,down,0.1,-0.057458199999999994,30,-0.020781492345897767,1.0103373161206597,1.0099217190309016,0.09095962948162309,0.09002897154276762,0.08817945968110627,0.08731316301002152,0.0
dual_pca_0.1,down,0.15,-0.035815799999999995,45,-0.01734228468724819,1.008633870483858,1.0072407941165935,0.08034219771427739,0.07965447132539376,0.07634829692025746,0.07579944871793957,0.0
dual_pca_0.1,down,0.2,-0.026538999999999997,60,-0.015277499122952953,1.0076097950709655,1.0049233332094978,0.07180438250102668,0.07126209258016347,0.06608375125083608,0.06575999289396489,0.0
dual_pca_0.1,up,0.05,0.07451725000000003,15,0.030579500232879586,0.9845915395569478,0.9856337333215532,0.08682140734373765,0.08818012734784016,0.08586861091349848,0.08712020298262732,1.0
dual_pca_0.1,up,0.1,0.0569616,30,0.03141613807707089,0.9841665824050974,0.9845270913121594,0.07448322088403787,0.0756815179621487,0.07259841970541656,0.07373938243655513,1.0
dual_pca_0.1,up,0.15,0.045833650000000004,45,0.028103722048074986,0.9858479994156935,0.9865030143907583,0.06655944126121198,0.06751491234009846,0.06394665182303609,0.06482154731430606,1.0
dual_pca_0.1,up,0.2,0.03796580000000001,60,0.024871362557187804,0.9874860188594126,0.9892139053562943,0.06049816773948134,0.061264834725821476,0.05712038216573776,0.05774320584905667,1.0
dual_pca_0.15,down,0.05,-0.0803146,15,-0.020685028936961558,1.0102895767733928,1.0101170789902436,0.10573812138902394,0.10466120191670641,0.10339980867565317,0.10236418215897909,0.0
dual_pca_0.15,down,0.1,-0.057458199999999994,30,-0.01895568168601658,1.0094333468268306,1.0087425192379713,0.09087824605579342,0.09002897154276762,0.08807650001736476,0.08731316301002152,0.0
dual_pca_0.15,down,0.15,-0.035815799999999995,45,-0.016841852567913707,1.008385765750347,1.007335742268857,0.08032243506289624,0.07965447132539376,0.07635549393785582,0.07579944871793957,0.0
dual_pca_0.15,down,0.2,-0.026538999999999997,60,-0.014103019044969356,1.0070268214129003,1.0042697982651412,0.07176283857823385,0.07126209258016347,0.06604077479753924,0.06575999289396489,0.0
dual_pca_0.15,up,0.05,0.07451725000000003,15,-0.0005049228998508237,1.0002524295895767,0.9977978833037479,0.0882023866211954,0.08818012734784016,0.0869283541290584,0.08712020298262732,0.9333333333333333
dual_pca_0.15,up,0.1,0.0569616,30,0.009457232955395023,0.9952601504353548,0.9922906433855972,0.07532279895218412,0.0756815179621487,0.0731708992408259,0.07373938243655513,0.9666666666666667
dual_pca_0.15,up,0.15,0.045833650000000004,45,0.0035940600751322993,0.9982013523958317,0.9971081394185862,0.06739347680477231,0.06751491234009846,0.06463409243680157,0.06482154731430606,0.9777777777777777
dual_pca_0.15,up,0.2,0.03796580000000001,60,0.004399095948649512,0.9977980276846364,0.9965736746918247,0.061129931255849895,0.061264834725821476,0.05754535884148087,0.05774320584905667,0.9833333333333333
dual_pca_0.2,down,0.05,-0.0803146,15,-0.0030509955037771874,1.0015243359518415,1.001400454121752,0.104820740749551,0.10466120191670641,0.10250753849980342,0.10236418215897909,0.0
dual_pca_0.2,down,0.1,-0.057458199999999994,30,-0.004700906107589997,1.0023476972126937,1.0021929206851072,0.09024033230832026,0.09002897154276762,0.08750463385126835,0.08731316301002152,0.0
dual_pca_0.2,down,0.15,-0.035815799999999995,45,-0.0030482508515266016,1.0015229657134812,1.000971521560269,0.0797757823541478,0.07965447132539376,0.07587308951662555,0.07579944871793957,0.0
dual_pca_0.2,down,0.2,-0.026538999999999997,60,-0.0006277680833786103,1.0003138347955498,0.9982737339724328,0.07128445710441882,0.07126209258016347,0.06564647365225898,0.06575999289396489,0.0
dual_pca_0.2,up,0.05,0.07451725000000003,15,0.006695803800868427,0.9966464750347195,0.9965391879028204,0.08788441308933756,0.08818012734784016,0.0868186963302363,0.08712020298262732,1.0
dual_pca_0.2,up,0.1,0.0569616,30,0.009349516654051149,0.9953142636102172,0.9952212837163071,0.07532689431939946,0.0756815179621487,0.0733870028489561,0.07373938243655513,1.0
dual_pca_0.2,up,0.15,0.045833650000000004,45,0.004595165128003731,0.9976997719113683,0.9984562435070946,0.06735961264233226,0.06751491234009846,0.06472147862975942,0.06482154731430606,1.0
dual_pca_0.2,up,0.2,0.03796580000000001,60,0.0032570963696475497,0.9983701235665822,0.9994859648003632,0.06116498061550462,0.061264834725821476,0.057713523808710386,0.05774320584905667,1.0
past_pca,down,0.05,-0.0803146,15,-0.02146676032192074,1.0106763875355558,1.0108848216400315,0.10577860546830622,0.10466120191670641,0.10347839802410727,0.10236418215897909,0.0
past_pca,down,0.1,-0.057458199999999994,30,-0.01599450010743486,1.0079655252574045,1.0071254930099411,0.09074609958948968,0.09002897154276762,0.08793531234272528,0.08731316301002152,0.0
