strategy,hit_rate_all,hit_dn_5%,hit_up_5%,hit_dn_10%,hit_up_10%,hit_dn_15%,hit_up_15%,hit_dn_20%,hit_up_20%
CAPM,0.63,0.06666666666666667,0.8666666666666667,0.03333333333333333,0.9333333333333333,0.044444444444444446,0.9555555555555556,0.03333333333333333,0.9666666666666667
FF3,0.61,0.13333333333333333,0.9333333333333333,0.1,0.9333333333333333,0.08888888888888889,0.9333333333333333,0.1,0.95
dual_0,0.62,0.13333333333333333,0.7333333333333333,0.06666666666666667,0.8333333333333334,0.06666666666666667,0.8666666666666667,0.05,0.8833333333333333
dual_0.05,0.6266666666666667,0.13333333333333333,0.8,0.06666666666666667,0.9,0.044444444444444446,0.9333333333333333,0.03333333333333333,0.95
dual_0.1,0.6366666666666667,0.13333333333333333,1.0,0.06666666666666667,1.0,0.044444444444444446,1.0,0.03333333333333333,1.0
dual_0.15,0.6266666666666667,0.0,0.9333333333333333,0.0,0.9666666666666667,0.0,0.9777777777777777,0.0,0.9833333333333333
dual_0.2,0.63,0.06666666666666667,0.9333333333333333,0.03333333333333333,0.9666666666666667,0.022222222222222223,0.9777777777777777,0.016666666666666666,0.9833333333333333
past,0.6266666666666667,0.0,0.9333333333333333,0.0,0.9666666666666667,0.0,0.9777777777777777,0.0,0.9833333333333333
dual_pca_0,0.63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
dual_pca_0.05,0.63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
dual_pca_0.1,0.63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
dual_pca_0.15,0.6266666666666667,0.0,0.9333333333333333,0.0,0.9666666666666667,0.0,0.9777777777777777,0.0,0.9833333333333333
dual_pca_0.2,0.63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
past_pca,0.6133333333333333,0.0,0.9333333333333333,0.0,0.9666666666666667,0.0,0.9333333333333333,0.0,0.95
dual_pls_0,0.6166666666666667,0.13333333333333333,0.8666666666666667,0.1,0.9,0.06666666666666667,0.9111111111111111,0.06666666666666667,0.9166666666666666
dual_pls_0.05,0.61,0.26666666666666666,0.6666666666666666,0.26666666666666666,0.6666666666666666,0.28888888888888886,0.7111111111111111,0.2833333333333333,0.75
dual_pls_0.1,0.6266666666666667,0.26666666666666666,0.6666666666666666,0.23333333333333334,0.7333333333333333,0.24444444444444444,0.7777777777777778,0.23333333333333334,0.8166666666666667
dual_pls_0.15,0.5933333333333334,0.4,0.6,0.3,0.6666666666666666,0.3111111111111111,0.6666666666666666,0.2833333333333333,0.7333333333333333
dual_pls_0.2,0.61,0.13333333333333333,0.8666666666666667,0.1,0.9,0.06666666666666667,0.9111111111111111,0.05,0.9333333333333333
past_pls,0.63,0.26666666666666666,0.7333333333333333,0.2,0.8,0.24444444444444444,0.8444444444444444,0.23333333333333334,0.8833333333333333
dual_pca_shap_0,0.6466666666666666,0.06666666666666667,1.0,0.06666666666666667,0.9666666666666667,0.08888888888888889,0.9777777777777777,0.08333333333333333,0.9833333333333333
dual_pca_shap_0.05,0.62,0.0,0.8666666666666667,0.03333333333333333,0.9333333333333333,0.022222222222222223,0.9555555555555556,0.016666666666666666,0.9666666666666667
dual_pca_shap_0.1,0.6466666666666666,0.13333333333333333,0.8,0.1,0.8333333333333334,0.15555555555555556,0.8666666666666667,0.18333333333333332,0.9
dual_pca_shap_0.15,0.63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
dual_pca_shap_0.2,0.6266666666666667,0.0,0.9333333333333333,0.0,0.9333333333333333,0.044444444444444446,0.9555555555555556,0.05,0.95
past_pca_shap,0.6333333333333333,0.13333333333333333,0.9333333333333333,0.06666666666666667,0.9666666666666667,0.044444444444444446,0.9777777777777777,0.03333333333333333,0.9833333333333333
dual_pls_shap_0,0.62,0.13333333333333333,0.8,0.1,0.8333333333333334,0.08888888888888889,0.8666666666666667,0.08333333333333333,0.9
dual_pls_shap_0.05,0.65,0.3333333333333333,0.8,0.23333333333333334,0.7666666666666667,0.28888888888888886,0.8222222222222222,0.2833333333333333,0.8666666666666667
dual_pls_shap_0.1,0.61,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.9,0.08888888888888889,0.8888888888888888,0.13333333333333333,0.9166666666666666
dual_pls_shap_0.15,0.61,0.13333333333333333,0.8666666666666667,0.1,0.8666666666666667,0.06666666666666667,0.8888888888888888,0.06666666666666667,0.9166666666666666
dual_pls_shap_0.2,0.5766666666666667,0.4666666666666667,0.6,0.4,0.7,0.3111111111111111,0.7333333333333333,0.31666666666666665,0.7833333333333333
past_pls_shap,0.6233333333333333,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.9333333333333333,0.044444444444444446,0.9555555555555556,0.03333333333333333,0.9666666666666667
