Strategy,Mean Excess Return,Volatility,Sharpe Ratio,Sortino Ratio,CER (gamma=3.0),Max Drawdown,Turnover,Information Ratio (vs CAPM)
Buy and Hold,0.069878,0.153233,0.456022,0.662608,0.034657,0.502159,,0.37595
CAPM,0.042139,0.144265,0.292097,0.394939,0.010921,0.512696,2.770965,
FF3,0.042457,0.163291,0.260008,0.360617,0.002461,0.593581,5.348583,0.00351
dual_0,0.027846,0.155073,0.179571,0.232836,-0.008225,0.554524,0.796004,-0.188327
dual_0.05,0.045079,0.16102,0.279961,0.372087,0.006188,0.554524,0.802632,0.04355
dual_0.1,0.057651,0.164396,0.350684,0.478755,0.017112,0.546869,0.764462,0.218805
dual_0.15,0.048443,0.16616,0.291547,0.390596,0.00703,0.587988,0.970355,0.09572
dual_0.2,0.042099,0.160459,0.262367,0.347057,0.003478,0.549288,0.92975,-0.0006
past,0.043887,0.161407,0.271902,0.359949,0.004809,0.590855,0.817316,0.027946
dual_pca_0,0.062342,0.162552,0.38352,0.530288,0.022707,0.555585,1.01212,0.269497
dual_pca_0.05,0.05759,0.172146,0.334544,0.469618,0.013139,0.662983,0.761886,0.197511
dual_pca_0.1,0.055358,0.171698,0.322416,0.451488,0.011138,0.664149,0.664809,0.170464
dual_pca_0.15,0.040054,0.163435,0.245078,0.326434,-1.2e-05,0.664458,0.715101,-0.029368
dual_pca_0.2,0.047336,0.161957,0.292277,0.394538,0.007991,0.664458,0.587912,0.073723
past_pca,0.053863,0.169569,0.317647,0.443625,0.010733,0.664458,0.681828,0.147937
dual_pls_0,0.043404,0.160159,0.271003,0.362526,0.004927,0.539736,1.62341,0.016521
dual_pls_0.05,0.064017,0.144319,0.44358,0.620846,0.032775,0.46729,2.632835,0.200376
dual_pls_0.1,0.073771,0.149421,0.493713,0.692897,0.040281,0.545721,2.5089,0.306008
dual_pls_0.15,0.072611,0.131791,0.550954,0.829448,0.046558,0.459471,2.847778,0.294036
dual_pls_0.2,0.051301,0.145951,0.351494,0.491308,0.019348,0.399409,1.559785,0.113023
past_pls,0.087552,0.171115,0.511655,0.730266,0.043631,0.656144,1.792708,0.430979
dual_pca_shap_0,0.069318,0.166949,0.415203,0.595046,0.02751,0.485584,1.556778,0.302135
dual_pca_shap_0.05,0.075668,0.151165,0.500566,0.735033,0.041392,0.345305,1.545244,0.411081
dual_pca_shap_0.1,0.082376,0.172577,0.477328,0.699323,0.037702,0.460175,1.856345,0.390512
dual_pca_shap_0.15,0.068699,0.182387,0.376665,0.528723,0.018801,0.664458,0.799896,0.301727
dual_pca_shap_0.2,0.054944,0.16167,0.339853,0.466613,0.015738,0.650909,0.867171,0.159113
past_pca_shap,0.069303,0.160328,0.432254,0.592129,0.030745,0.540916,1.40635,0.402111
dual_pls_shap_0,0.067059,0.149196,0.449471,0.670458,0.03367,0.359111,1.789076,0.291393
dual_pls_shap_0.05,0.095222,0.149022,0.638976,0.995808,0.06191,0.364263,2.437253,0.532466
dual_pls_shap_0.1,0.104249,0.175963,0.592449,0.912888,0.057805,0.444916,1.867468,0.549987
dual_pls_shap_0.15,0.050677,0.157993,0.320756,0.437907,0.013235,0.527283,1.555621,0.116191
dual_pls_shap_0.2,0.093106,0.136212,0.683535,1.11388,0.065275,0.325438,2.596352,0.485233
past_pls_shap,0.087896,0.158543,0.5544,0.816304,0.050192,0.389695,2.099139,0.471768
