Method,tau,n,Past_R2_OS,Dual_R2_OS,Delta_R2_OS,DM_t,DM_p_one_sided
none,0.0,300,-0.007762006203460237,-0.015257791883868554,-0.007495785680408318,-1.5641355420190355,0.9411071296302884
none,0.05,300,-0.007762006203460237,-0.007488043707869929,0.0002739624955903075,0.11244097531975884,0.455236883849295
none,0.1,300,-0.007762006203460237,-0.0005827160045388524,0.007179290198921384,1.9232095555257476,0.027226868846213878
none,0.15,300,-0.007762006203460237,-0.006331924281566925,0.0014300819218933114,0.5359453602490069,0.29599815685952224
none,0.2,300,-0.007762006203460237,-0.007911990448058681,-0.0001499842445984445,-0.059338254595447906,0.5236586539903478
pca,0.0,300,-0.0015215028350115123,0.0014726212879540013,0.0029941241229655136,0.3750442722001067,0.353813770620813
pca,0.05,300,-0.0015215028350115123,0.0023927239833873015,0.003914226818398814,1.1369570401159323,0.1277781225463453
pca,0.1,300,-0.0015215028350115123,0.0019593367717013477,0.00348083960671286,1.2395028241902954,0.10757967176139821
pca,0.15,300,-0.0015215028350115123,-0.00516296649118031,-0.0036414636561687974,-0.620403264485319,0.7325038381342014
pca,0.2,300,-0.0015215028350115123,0.0004223969878999201,0.0019438998229114324,0.4802070244472005,0.3155400962485263
pls,0.0,300,0.002108555301580828,-0.007274327475513376,-0.009382882777094204,-0.4594194242281492,0.6770334989279382
pls,0.05,300,0.002108555301580828,0.006186869572002318,0.00407831427042149,0.22429391044878846,0.4112643071354617
pls,0.1,300,0.002108555301580828,0.0039782727648867144,0.0018697174633058866,0.09582932027898891,0.4618280651507487
pls,0.15,300,0.002108555301580828,0.003903745826601801,0.0017951905250209732,0.08597695359668682,0.4657423688700981
pls,0.2,300,0.002108555301580828,-0.004012033342664312,-0.00612058864424514,-0.30675008191280717,0.6204831968118213
shap_pca,0.0,300,0.004096353696698474,0.015736957707264132,0.011640604010565658,0.9118747547127903,0.1809173262291614
shap_pca,0.05,300,0.004096353696698474,0.007812818327639026,0.0037164646309405525,0.480672040047418,0.3153748029700092
shap_pca,0.1,300,0.004096353696698474,0.005595808021596649,0.001499454324898175,0.09875025951695696,0.4606682812625857
shap_pca,0.15,300,0.004096353696698474,0.006752280836304525,0.0026559271396060513,0.24712843242308466,0.40240441506626523
shap_pca,0.2,300,0.004096353696698474,0.0035066116634140387,-0.000589742033284435,-0.06433713714965648,0.5256491082374414
shap_pls,0.0,300,0.01532839449595158,-0.0022446361369821144,-0.017573030632933695,-1.2808947157208213,0.8998846754273393
shap_pls,0.05,300,0.01532839449595158,0.016328409963154655,0.0010000154672030748,0.05735225476366792,0.47713229776864713
shap_pls,0.1,300,0.01532839449595158,0.021227410715603745,0.0058990162196521645,0.4778806456633702,0.31636757875154975
shap_pls,0.15,300,0.01532839449595158,-0.005374176487724425,-0.020702570983676005,-1.3178386584619466,0.9062211681483784
shap_pls,0.2,300,0.01532839449595158,0.008756133512301645,-0.006572260983649936,-0.35132415033425435,0.6373274105401252
